file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width
2011_280/71.evt,97.5,11092,11092,4029568,4028231,2,2642,2501,2202,0,-1076,-45133,-942,-45267,2500
2011_280/93.evt,mean,14893,14893,3462272,3452757,3,8244,1335,1023,0,0,-31943,0,-30507,2500
2011_280/93.evt,2.5,68193,16229,3462272,3452757,3,8729,1367,1017,0,1077,-18798,942,-15702,2500
2011_280/93.evt,97.5,13730,13730,3462272,3452757,3,7772,1290,1018,0,-1076,-45133,-942,-45267,2500
2011_280/98.evt,mean,15114,15114,3432192,3421957,4,9321,1232,1052,0,0,-31943,0,-30507,2500
2011_280/98.evt,2.5,69345,16500,3432192,3421957,4,9918,1257,1039,0,1077,-18798,942,-15702,2500
2011_280/98.evt,97.5,13966,13966,3432192,3421957,5,8731,1200,1056,0,-1076,-45133,-942,-45267,2500
2011_281/353.evt,mean,7756,7756,3755776,3755761,1,195,2644,2592,0,0,-31943,0,-30507,2500
2011_281/353.evt,2.5,8344,8224,3755776,3755761,1,235,2816,2566,0,1077,-18798,942,-15702,2500
2011_281/353.evt,97.5,7335,7335,3755776,3755761,1,160,2487,2596,0,-1076,-45133,-942,-45267,2500
2011_281/355.evt,mean,7695,7695,3751808,3751803,6,234,2651,2462,0,0,-31943,0,-30507,2500
2011_281/355.evt,2.5,8309,8159,3751808,3751803,6,291,2833,2420,0,1077,-18798,942,-15702,2500
2011_281/355.evt,97.5,7240,7240,3751808,3751803,6,190,2492,2462,0,-1076,-45133,-942,-45267,2500
2011_281/357.evt,mean,7793,7793,3770880,3770867,2,219,2672,2577,0,0,-31943,0,-30507,2500
2011_281/357.evt,2.5,8340,8212,3770880,3770867,2,261,2835,2542,0,1077,-18798,942,-15702,2500
2011_281/357.evt,97.5,7408,7408,3770880,3770867,2,178,2496,2611,0,-1076,-45133,-942,-45267,2500
2011_282/353.evt,mean,5688,5688,3683840,3683838,2,197,1943,1880,0,0,-31943,0,-30507,2500
2011_282/353.evt,2.5,6155,6094,3683840,3683838,2,249,2148,1849,0,1077,-18798,942,-15702,2500
2011_282/353.evt,97.5,5324,5324,3683840,3683838,2,159,1741,1895,0,-1076,-45133,-942,-45267,2500
2011_282/354.evt,mean,5786,5786,3669888,3669878,2,201,1990,1924,0,0,-31943,0,-30507,2500
2011_282/354.evt,2.5,6233,6169,3669888,3669878,2,247,2197,1871,0,1077,-18798,942,-15702,2500
2011_282/354.evt,97.5,5436,5436,3669888,3669878,2,155,1824,1948,0,-1076,-45133,-942,-45267,2500
