"pop","time","abundance","fsc","chl","ssc","pe","pop","time","abundance.sd","fsc.sd","chl.sd","ssc.sd","pe.sd"
"crocco",2015-08-03 02:00:00,0.436127741839372,58706,60639.6666666667,43402.3333333333,45983.3333333333,"crocco",2015-08-03 02:00:00,0.0510148068126709,100.935623047564,823.775657162394,889.667540901282,1038.65361566469
"picoeuk",2015-08-03 02:00:00,2.1800966292935,50215.3333333333,48408.6666666667,37828.6666666667,13061.6666666667,"picoeuk",2015-08-03 02:00:00,0.128530189742561,638.693458032359,509.094621198588,788.375756434286,608.733384441278
"prochloro",2015-08-03 02:00:00,199.845081751426,12515,11807.6666666667,16558,121,"prochloro",2015-08-03 02:00:00,8.11647708665745,137.63357148603,284.8022705902,756.179211562973,0
"synecho",2015-08-03 02:00:00,1.25472095650101,26941.3333333333,28379.6666666667,29344.3333333333,21908,"synecho",2015-08-03 02:00:00,0.0952572771191311,126.2748325413,371.954746351399,1479.78252906748,807.024782766923
"beads",2015-08-03 04:00:00,17.7070682696019,51950.6666666667,42403.3333333333,44573,46981,"beads",2015-08-03 04:00:00,1.87924313932203,273.863713064242,830.82208283924,922.929574778054,676.458424443069
"crocco",2015-08-03 04:00:00,0.512991422397813,57766.6666666667,62802,42824.6666666667,47947.3333333333,"crocco",2015-08-03 04:00:00,0.126492311205328,745.442374253928,873.836941311135,998.569643707104,715.702685011963
"picoeuk",2015-08-03 04:00:00,2.10399931379613,49806.3333333333,48544.3333333333,37477,11766.6666666667,"picoeuk",2015-08-03 04:00:00,0.287908470110922,1750.44461018718,510.064048265836,675.626376039302,872.702316562374
"prochloro",2015-08-03 04:00:00,207.222088543804,13306.3333333333,13049,16798.6666666667,121.333333333333,"prochloro",2015-08-03 04:00:00,8.79012551522765,1698.3463525834,739.330102187108,832.724644365311,0.577350269189626
"synecho",2015-08-03 04:00:00,1.14959975393011,27631,31142.6666666667,29144,24323.3333333333,"synecho",2015-08-03 04:00:00,0.0643942912575412,1337.63933853636,1961.81047334684,715.209060345295,1968.28461695288
"beads",2015-08-03 06:00:00,14.1493149073142,52203.6666666667,43551.6666666667,45525,48151,"beads",2015-08-03 06:00:00,3.08960226137408,653.968143974409,2715.87266515449,2304.29577094608,2525.20672421091
"crocco",2015-08-03 06:00:00,0.484904883088885,58037.6666666667,64323.3333333333,44259.6666666667,49889.6666666667,"crocco",2015-08-03 06:00:00,0.0420906812702664,544.294344388524,574.460906705873,3154.74156363613,1484.60578381378
"picoeuk",2015-08-03 06:00:00,2.30614811350995,49522,47285.6666666667,38422.6666666667,13325,"picoeuk",2015-08-03 06:00:00,0.600218472166188,3555.27312593562,4227.71265974088,862.034995422653,2729.14070725567
"prochloro",2015-08-03 06:00:00,208.587570728487,12739,13660.5,16968,121,"prochloro",2015-08-03 06:00:00,4.38594852509682,32.5269119345812,180.31222920257,632.153462380773,0
"synecho",2015-08-03 06:00:00,1.41405387853118,26778.3333333333,31673,29974.3333333333,24680.6666666667,"synecho",2015-08-03 06:00:00,0.607778157232631,600.030277013863,834.249962541204,1373.2451832551,1718.90236294367
"beads",2015-08-03 08:00:00,16.2254260871479,52143.6666666667,44265.3333333333,45285,48611.6666666667,"beads",2015-08-03 08:00:00,2.1317492763877,369.451395089169,1873.65026974976,1138.85512687084,1571.80798233542
"crocco",2015-08-03 08:00:00,0.428575691686443,57592.6666666667,65317,42988,50821.3333333333,"crocco",2015-08-03 08:00:00,0.0112347605338805,85.4244305414636,377.587076050015,693.106052491248,690.461681292549
"picoeuk",2015-08-03 08:00:00,2.27441842210946,50279.6666666667,49434.6666666667,37323.3333333333,10604.3333333333,"picoeuk",2015-08-03 08:00:00,0.257433875033825,409.719822968493,206.655107203605,547.007617253483,1752.62783651674
