file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,cruise,time,fr,pro.influx,syn.influx,pico.influx,vc1,vc2,vc3,vc4,pro.seaflow.each1,pro.seaflow.median1,pro.seaflow.each2,pro.seaflow.median2,pro.seaflow.each3,pro.seaflow.median3,pro.seaflow.each4,pro.seaflow.median4,syn.seaflow.each1,syn.seaflow.median1,syn.seaflow.each2,syn.seaflow.median2,syn.seaflow.each3,syn.seaflow.median3,syn.seaflow.each4,syn.seaflow.median4,pico.seaflow.each1,pico.seaflow.median1,pico.seaflow.each2,pico.seaflow.median2,pico.seaflow.each3,pico.seaflow.median3,pico.seaflow.each4,pico.seaflow.median4
2011_276/340.evt,4775,4775,2696820,2687993,1,2099,220,594,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 17:00:13,3.75929377659307,182.413,1.978,2.933,19.9686606261062,20.0342349662725,19.9686606261062,20.0342349662725,105.114711462213,49.2453324360599,104.770659001137,49.2452741790702,105.114711462213,49.2530408703459,104.770659001137,49.2508736724632,11.0172637073305,5.16149268029213,10.9812029443784,5.1614865742713,11.0172637073305,5.16230061528161,10.9812029443784,5.16207346733774,29.7466120097925,13.9360302367887,29.6492479498217,13.9360137505325,29.7466120097925,13.9382116612603,29.6492479498217,13.9375983618119
2011_276/340.evt,10290,10290,2696820,2687993,1,6740,262,874,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 17:00:13,3.75929377659307,182.413,1.978,2.933,43.0319409094519,43.1732518959045,43.0319409094519,43.1732518959045,156.627841030512,158.129366659859,156.115180210443,158.129179593584,156.627841030512,158.154118849991,156.115180210443,158.147159862983,6.08850064539971,6.14686855562062,6.06857228711219,6.14686128390491,6.08850064539971,6.14783073274446,6.06857228711219,6.14756022019312,20.3104945193868,20.5052027389787,20.2440159501376,20.5051784814232,20.3104945193868,20.508412444346,20.2440159501376,20.5075100475145
2011_276/340.evt,17223,17223,2696820,2687993,1,12922,305,1048,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 17:00:13,3.75929377659307,182.413,1.978,2.933,72.0251815630213,72.2617023715416,72.0251815630213,72.2617023715416,179.409474847257,303.167310976068,178.822247136666,303.166952330608,179.409474847257,303.214766139404,178.822247136666,303.201424295174,4.234630074943,7.15570576131409,4.22076964685676,7.15569729614884,4.234630074943,7.15682585300405,4.22076964685676,7.15651094335459,14.5504666181648,24.5874742224825,14.50284127838,24.5874451356196,14.5504666181648,24.5913229309778,14.50284127838,24.5902408807725
2011_276/340.evt,111969,24255,2696820,2687993,1,19671,345,1178,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 17:00:13,3.75929377659307,182.413,1.978,2.933,468.245227569525,469.782880615406,101.432432143708,101.765522326061,42.0100384196211,461.507829609211,41.8725347637857,461.507283647685,193.932054908537,461.580070014566,193.297293134048,461.559759890912,0.736793414405434,8.09415897591265,0.734381805373701,8.09414940056181,3.40127898650019,8.09542596487343,3.39014621174554,8.09506975559781,2.51577577440464,27.6374471699278,2.50754135284122,27.6374144749618,11.6136424524557,27.6417732945533,11.5756296737282,27.640557020563
2011_276/340.evt,392429,30354,2696820,2687993,1,25792,387,1258,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 17:00:13,3.75929377659307,182.413,1.978,2.933,1641.10607766329,1646.49524472866,126.937952805199,127.354799615965,15.7162296520919,605.114632773157,15.6647886366963,605.113916925479,203.185882787796,605.209352133378,202.520832177311,605.182722134431,0.235816566197253,9.07953485124115,0.235044711631571,9.07952411019542,3.0487335855644,9.08095608233628,3.03875473218902,9.0805565084532,0.766556176424145,29.514353599125,0.764047150471617,29.5143186837877,9.91035361922484,29.5189735182921,9.87791589946716,29.5176746450494
2011_276/340.evt,20686,20532,2696820,2687993,1,16121,325,1044,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 17:00:13,3.75929377659307,182.413,1.978,2.933,86.507165175211,86.7912428298037,85.8631497330287,86.1451125293208,186.354505633708,378.220106813588,185.74454604381,378.219659381034,187.752255188919,378.279310086158,187.137720605019,378.262665304326,3.75691423180666,7.62493236861337,3.74461742225906,7.62492334835533,3.78509291833005,7.62612590893874,3.77270387672175,7.6257903494762,12.0683644861728,24.4936289010226,12.0288633502722,24.4935999251783,12.158883097651,24.4974629197909,12.1190856839923,24.4963849995482
2011_276/340.evt,16669,16669,2696820,2687993,1,13278,267,642,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337,MBARI_1,2011-10-03 17:00:13,3.75929377659307,182.413,1.978,2.933,69.7083987385474,69.9373115503238,69.7083987385474,69.9373115503238,190.47919964137,311.519544585995,189.855739456695,311.519176059883,190.47919964137,311.568307135042,189.855739456695,311.554597724138,3.83024147493943,6.26417520744545,3.81770465694665,6.26416779695653,3.83024147493943,6.26515574672813,3.81770465694665,6.26488007172353,9.20979410828133,15.062174094307,9.17964939984925,15.0621562758281,9.20979410828133,15.0645317955036,9.17964939984925,15.0638689365038
2011_276/340.evt,18596,18596,2696820,2687993,1,14565,287,904,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337,MBARI_1,2011-10-03 17:00:13,3.75929377659307,182.413,1.978,2.933,77.7669556027373,78.022331608964,77.7669556027373,78.022331608964,187.290345714489,341.714276765704,186.677323013077,341.71387251937,187.290345714489,341.767765734439,186.677323013077,341.752727508064,3.69051350635485,6.73340181474473,3.67843403396863,6.73339384916301,3.69051350635485,6.73445580266282,3.67843403396863,6.73415947784514,11.6244745984139,21.2090426499276,11.586426364835,21.209017559733,11.6244745984139,21.2123625282481,11.586426364835,21.2114291566969
2011_276/340.evt,14664,14664,2696820,2687993,0,12033,243,301,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337,MBARI_1,2011-10-03 17:00:13,3.75929377659307,182.413,1.978,2.933,61.3236522348107,61.5250306901403,61.3236522348107,61.5250306901403,196.221189728315,282.310188281614,195.578935354003,282.30985431003,196.221189728315,282.354378653107,195.578935354003,282.341954693068,3.96258199152169,5.7011032786863,3.94961200789685,5.70109653430875,3.96258199152169,5.7019956796065,3.94961200789685,5.70174478437759,4.90838345451864,7.06186043985423,4.89231775463766,7.06185208570755,4.90838345451864,7.06296584181711,4.89231775463766,7.06265506213027
2011_276/455.evt,4694,4694,3175424,3158292,1,899,203,247,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 22:45:55,3.75929377659307,210.651,2.473,1.741,16.6712775874918,16.761710114829,16.6712775874918,16.761710114829,53.9250813431663,21.0917359981028,53.6341455520495,21.0917110466813,53.9250813431663,21.0950375142644,53.6341455520495,21.0941093051665,12.1766312710375,4.76265006408774,12.1109360923983,4.76264442989579,12.1766312710375,4.76339556773712,12.1109360923983,4.76318597213437,14.8159011031836,5.79494860014616,14.7359665754797,5.79494174475005,14.8159011031836,5.79585569079344,14.7359665754797,5.79560066560191
