time_GMT,lon_decW,lat_decN,station,depth_m,population,fsc,chl,ssc,pe,abundance_cells.uL,sd.fsc,sd.chl,sd.ssc,sd.pe,sd.abundance
6/4/17 12:53,-158,39.49983,8,15,picoeuk,1.64782,4.63233,0.60609,0.01736,11.44932,0.05673,0.33553,0.03061,0.0235,0.92517
6/4/17 12:53,-158,39.49983,8,15,prochloro,0.00601,0.10756,0.03742,0.00496,0.36923,0.00126,0.03728,0.02312,0.00487,0.19566
6/4/17 12:53,-158,39.49983,8,15,synecho,0.05484,0.58934,0.05579,0.12299,12.21656,0.00155,0.01361,0.00113,0.01021,0.85125
6/4/17 12:53,-158,39.49983,8,15,bacteria,0.00213,0.04222,0.02081,0.01864,1411.22687,2.00E-05,0.00349,0.00024,9.00E-04,27.03417
6/4/17 12:53,-158,39.49983,8,25,picoeuk,1.56937,5.29458,0.59067,0.00405,9.22075,0.00937,0.15025,0.02657,0.00013,0.76431
6/4/17 12:53,-158,39.49983,8,25,prochloro,0.00936,0.17154,0.02995,0.00132,0.23546,0.00716,0.14995,0.01576,5.00E-05,0.17315
6/4/17 12:53,-158,39.49983,8,25,synecho,0.05251,0.72959,0.05558,0.13125,10.80346,0.00034,0.01747,0.00062,0.00846,0.27599
6/4/17 12:53,-158,39.49983,8,25,bacteria,0.00208,0.04307,0.02084,0.01905,1331.08787,4.00E-05,0.00079,0.00034,4.00E-04,33.17667
6/4/17 12:53,-158,39.49983,8,45,picoeuk,1.60097,12.07369,0.69505,0.00286,1.95527,0.03695,0.39662,0.02453,0.00042,0.0681
6/4/17 12:53,-158,39.49983,8,45,prochloro,0.03015,0.20884,0.07919,0.00127,0.41325,0.00443,0.03655,0.01263,1.00E-05,0.04055
6/4/17 12:53,-158,39.49983,8,45,synecho,0.13728,4.05479,0.07684,0.93188,5.03707,0.00108,0.13523,0.00184,0.02438,0.15292
6/4/17 12:53,-158,39.49983,8,45,bacteria,0.00164,0.03657,0.01807,0.01574,656.70306,1.00E-05,0.00157,0.00031,0.00059,5.23155
6/4/17 12:53,-158,39.49983,8,60,picoeuk,1.45542,13.66189,0.60398,0.02005,1.0988,0.04928,0.91575,0.04129,0.02161,0.09606
6/4/17 12:53,-158,39.49983,8,60,prochloro,0.03482,0.28597,0.10809,0.00515,0.29696,0.00173,0.06223,0.01774,0.00641,0.13533
6/4/17 12:53,-158,39.49983,8,60,synecho,0.14844,5.16727,0.07912,1.20135,2.74252,0.00207,0.14048,0.00324,0.04523,0.1085
6/4/17 12:53,-158,39.49983,8,60,bacteria,0.00156,0.03648,0.0175,0.01475,475.03112,6.00E-05,0.00139,0.00035,0.00038,4.81427
6/4/17 12:53,-158,39.49983,8,120,picoeuk,1.72317,9.84912,0.80756,0.05504,0.16709,0.235,2.46358,0.04833,0.08632,0.03229
6/4/17 12:53,-158,39.49983,8,120,prochloro,0.01707,0.20806,0.05624,0.01472,0.05433,0.00907,0.11577,0.01854,0.02319,0.02957
6/4/17 12:53,-158,39.49983,8,120,synecho,0.07636,2.00218,0.07719,0.45485,0.10116,0.00318,0.22177,0.01032,0.0407,0.03589
6/4/17 12:53,-158,39.49983,8,120,bacteria,0.00164,0.03584,0.01935,0.01444,274.91151,5.00E-05,0.00054,7.00E-05,0.00052,6.66707
6/5/17 10:58,-158,37.99983,9,15,picoeuk,0.23559,1.10031,0.17828,0.00411,22.0528,0.00584,0.06527,0.00156,8.00E-04,0.50592
6/5/17 10:58,-158,37.99983,9,15,prochloro,0.01179,0.04853,0.03697,0.00132,5.95368,2.00E-04,0.0014,0.00041,6.00E-05,0.25465
6/5/17 10:58,-158,37.99983,9,15,synecho,0.05019,0.50275,0.06278,0.08774,34.10799,0.00111,0.01936,0.00188,0.00142,0.61284
6/5/17 10:58,-158,37.99983,9,15,bacteria,0.00194,0.04181,0.02302,0.01541,800.49956,7.00E-05,0.00077,0.00023,0.00033,39.34144
6/5/17 10:58,-158,37.99983,9,25,picoeuk,0.26292,1.37627,0.21201,0.00275,19.14059,0.0104,0.01196,0.00461,0.00034,0.86165
6/5/17 10:58,-158,37.99983,9,25,prochloro,0.01145,0.05306,0.03809,0.00125,5.311,7.00E-05,5.00E-04,0.00043,0,0.1846
6/5/17 10:58,-158,37.99983,9,25,synecho,0.04418,0.53971,0.06157,0.08727,30.22955,0.00068,0.00924,0.00099,0.00137,1.27142
6/5/17 10:58,-158,37.99983,9,25,bacteria,0.00204,0.03922,0.02263,0.01514,756.80113,3.00E-05,0.00077,4.00E-04,0.00021,21.01485
6/5/17 10:58,-158,37.99983,9,40,picoeuk,0.61382,4.56877,0.34519,0.00324,18.05387,0.04612,0.03674,0.01285,0.00116,0.07485
6/5/17 10:58,-158,37.99983,9,40,prochloro,0.01652,0.11064,0.05173,0.00127,12.7059,0.00015,0.0023,0.00037,0,0.49681
6/5/17 10:58,-158,37.99983,9,40,synecho,0.07212,1.73434,0.06513,0.32206,47.62891,8.00E-05,0.08636,0.00078,0.01553,1.18159
6/5/17 10:58,-158,37.99983,9,40,bacteria,0.00208,0.04141,0.02035,0.01666,818.23103,4.00E-05,0.00064,0.00028,0.00025,18.84911
6/5/17 10:58,-158,37.99983,9,45,picoeuk,1.16882,9.07153,0.54803,0.02056,5.95865,0.0273,0.23851,0.02646,0.02412,0.4333
6/5/17 10:58,-158,37.99983,9,45,prochloro,0.02575,0.19631,0.0804,0.0035,18.98056,8.00E-04,0.00378,5.00E-04,0.00351,0.68749
6/5/17 10:58,-158,37.99983,9,45,synecho,0.09143,2.55348,0.07607,0.66211,24.77841,0.00135,0.03557,0.00056,0.00426,0.47918
6/5/17 10:58,-158,37.99983,9,45,bacteria,0.00196,0.04102,0.01995,0.01702,477.81833,1.00E-05,0.00102,0.00034,0.00032,6.43239
6/5/17 10:58,-158,37.99983,9,60,picoeuk,1.28633,12.97567,0.53702,0.00477,3.3762,0.02077,0.49957,0.01946,3.00E-04,0.28529
6/5/17 10:58,-158,37.99983,9,60,prochloro,0.02975,0.24537,0.08947,0.00123,7.79895,7.00E-04,0.00703,0.00296,3.00E-05,0.32924
6/5/17 10:58,-158,37.99983,9,60,synecho,0.12437,3.88333,0.08044,1.00958,7.9635,0.00141,0.03473,0.00277,0.03296,0.33349
6/5/17 10:58,-158,37.99983,9,60,bacteria,0.00167,0.03512,0.01849,0.01384,445.95612,4.00E-05,9.00E-04,0.00029,0.00022,13.0056
6/5/17 10:58,-158,37.99983,9,120,picoeuk,1.49427,19.92966,0.59674,0.00555,0.3508,0.08589,3.21716,0.03085,0.00143,0.01508
6/5/17 10:58,-158,37.99983,9,120,prochloro,0.05721,0.56866,0.14931,0.00147,0.37203,0.00623,0.26122,0.02793,9.00E-05,0.04431
6/5/17 10:58,-158,37.99983,9,120,synecho,0.10487,2.67927,0.07871,0.62982,0.42094,0.00912,0.20563,0.00333,0.03563,0.07461
6/5/17 10:58,-158,37.99983,9,120,bacteria,0.00165,0.03492,0.01892,0.01338,276.76425,4.00E-05,0.00123,0.00013,0.00021,15.14695
6/6/17 7:21,-158,36.99983,11,15,picoeuk,0.50046,1.40634,0.27912,0.01568,5.20969,0.51603,1.01188,0.16887,0.01969,1.28743
6/6/17 7:21,-158,36.99983,11,15,prochloro,0.03068,0.14207,0.04627,0.00306,35.07966,0.0519,0.22924,0.02402,0.00302,29.69796
6/6/17 7:21,-158,36.99983,11,15,synecho,0.04059,0.38281,0.06171,0.07537,46.51889,0.00152,0.01854,0.00082,0.00258,0.90194
6/6/17 7:21,-158,36.99983,11,15,bacteria,0.00187,0.03919,0.02157,0.01642,854.40925,2.00E-05,0.00063,0.00024,0.00032,17.13414
6/6/17 7:21,-158,36.99983,11,25,picoeuk,0.44489,1.27466,0.24969,0.0042,4.84828,0.00446,0.08381,0.01678,0.00068,0.38281
6/6/17 7:21,-158,36.99983,11,25,prochloro,0.00756,0.04016,0.02824,0.00131,138.10632,0.00014,0.00037,0.00125,5.00E-05,2.09079
6/6/17 7:21,-158,36.99983,11,25,synecho,0.04044,0.38975,0.06329,0.07533,84.22256,0.00032,0.00138,0.0013,0.00143,1.36645
6/6/17 7:21,-158,36.99983,11,25,bacteria,0.00191,0.04063,0.01968,0.0176,687.51755,1.00E-05,0.00161,0.00032,6.00E-04,10.92529
6/6/17 7:21,-158,36.99983,11,45,picoeuk,0.64227,3.07537,0.30815,0.0027,8.67827,0.01975,0.09687,0.0106,0.00105,0.32599
6/6/17 7:21,-158,36.99983,11,45,prochloro,0.01793,0.10673,0.05177,0.00129,172.30646,0.00013,0.00203,0.00038,3.00E-05,4.00672
