file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2017_159/2017-06-08T13-18-35+00-00.gz,6705,6705,2281344,2198530,0,5059,649,165,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_159/2017-06-08T13-18-35+00-00.gz,9438,9430,2281344,2198530,1,6395,810,285,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_159/2017-06-08T13-18-35+00-00.gz,95491,11769,2281344,2198530,3,7682,951,369,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_159/2017-06-08T13-18-35+00-00.gz,197406,14114,2281344,2198530,3,9060,1073,433,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_159/2017-06-08T13-18-35+00-00.gz,9550,9276,2281344,2198530,0,6437,810,201,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_159/2017-06-08T13-18-35+00-00.gz,8374,8374,2281344,2198530,0,5787,652,79,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_159/2017-06-08T13-18-35+00-00.gz,8554,8554,2281344,2198530,0,5841,685,131,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_159/2017-06-08T13-18-35+00-00.gz,7742,7742,2281344,2198530,0,5431,552,40,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_160/2017-06-09T06-31-35+00-00.gz,4033,4033,2491264,2445747,2,2067,855,82,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_160/2017-06-09T06-31-35+00-00.gz,5932,5932,2491264,2445747,3,2683,1093,162,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_160/2017-06-09T06-31-35+00-00.gz,8633,8627,2491264,2445747,3,3407,1320,230,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_160/2017-06-09T06-31-35+00-00.gz,70260,11251,2491264,2445747,5,4175,1509,301,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_160/2017-06-09T06-31-35+00-00.gz,178436,14004,2491264,2445747,6,5020,1724,365,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_160/2017-06-09T06-31-35+00-00.gz,8802,8600,2491264,2445747,2,3444,1309,171,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_160/2017-06-09T06-31-35+00-00.gz,7427,7427,2491264,2445747,2,2939,1076,98,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_160/2017-06-09T06-31-35+00-00.gz,7670,7670,2491264,2445747,3,3052,1113,145,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_160/2017-06-09T06-31-35+00-00.gz,6591,6591,2491264,2445747,0,2690,907,36,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_160/2017-06-09T19-02-32+00-00.gz,4483,4483,2469760,2402835,0,2956,944,117,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_160/2017-06-09T19-02-32+00-00.gz,6736,6736,2469760,2402835,2,4441,1171,198,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_160/2017-06-09T19-02-32+00-00.gz,9587,9585,2469760,2402835,8,5837,1429,299,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_160/2017-06-09T19-02-32+00-00.gz,80320,12323,2469760,2402835,13,7175,1678,362,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_160/2017-06-09T19-02-32+00-00.gz,198193,15093,2469760,2402835,15,8645,1885,409,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_160/2017-06-09T19-02-32+00-00.gz,9970,9700,2469760,2402835,0,5955,1411,239,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_160/2017-06-09T19-02-32+00-00.gz,8615,8615,2469760,2402835,0,5287,1160,128,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_160/2017-06-09T19-02-32+00-00.gz,8843,8843,2469760,2402835,2,5360,1207,180,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_160/2017-06-09T19-02-32+00-00.gz,7796,7796,2469760,2402835,0,4870,1018,61,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_161/2017-06-10T06-30-31+00-00.gz,5681,5681,2241536,2146115,1,5256,54,100,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_161/2017-06-10T06-30-31+00-00.gz,8052,8052,2241536,2146115,4,7265,68,173,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_161/2017-06-10T06-30-31+00-00.gz,10829,10814,2241536,2146115,5,9096,82,211,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_161/2017-06-10T06-30-31+00-00.gz,88844,13445,2241536,2146115,6,10907,94,256,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_161/2017-06-10T06-30-31+00-00.gz,201774,15945,2241536,2146115,7,12766,106,288,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_161/2017-06-10T06-30-31+00-00.gz,11339,11019,2241536,2146115,1,9301,81,158,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_161/2017-06-10T06-30-31+00-00.gz,10060,10060,2241536,2146115,1,8311,65,108,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_161/2017-06-10T06-30-31+00-00.gz,10323,10323,2241536,2146115,4,8475,68,165,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_161/2017-06-10T06-30-31+00-00.gz,9287,9287,2241536,2146115,0,7762,54,44,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_162/2017-06-11T06-30-32+00-00.gz,7067,7067,2322816,2182283,3,6439,143,100,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_162/2017-06-11T06-30-32+00-00.gz,10169,10169,2322816,2182283,6,9339,172,161,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_162/2017-06-11T06-30-32+00-00.gz,13217,13207,2322816,2182283,8,12070,198,206,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_162/2017-06-11T06-30-32+00-00.gz,109784,15801,2322816,2182283,8,14415,230,236,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_162/2017-06-11T06-30-32+00-00.gz,230601,18357,2322816,2182283,8,16727,261,264,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_162/2017-06-11T06-30-32+00-00.gz,13673,13327,2322816,2182283,3,12258,198,152,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_162/2017-06-11T06-30-32+00-00.gz,12451,12451,2322816,2182283,3,11270,171,104,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_162/2017-06-11T06-30-32+00-00.gz,12644,12644,2322816,2182283,6,11354,183,152,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_162/2017-06-11T06-30-32+00-00.gz,11642,11642,2322816,2182283,2,10630,153,42,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
