local.time,fcs.file,label,Volume,i,n,fsc,chl,ssc,green,conc,duplicate,exp,lat,long
10/29/11 2:00,Francois.20120213.A.0001.fcs,TC1 0200 C,155.1,beads,7757,63441,39420,44738,52365,50.01289491,C,TC1,36.05,138.05
10/29/11 2:00,Francois.20120214.A.0002.fcs,TC1 0200 A,156.44,synecho,1260,40688,30873,29606,26953,8.054206085,A,TC1,36.05,138.05
10/29/11 2:00,Francois.20120213.A.0001.fcs,TC1 0200 C,155.1,synecho,2048,36000,26740,26990,25084,13.20438427,C,TC1,36.05,138.05
10/29/11 2:00,Francois.20120213.A.0001.fcs,TC1 0200 C,155.1,prochloro,35409,24302,19776,18292,19173,228.2978723,C,TC1,36.05,138.05
10/29/11 2:00,Francois.20120213.A.0001.fcs,TC1 0200 C,155.1,heteroBact,61872,11912,12778,13815,13122,398.9168279,C,TC1,36.05,138.05
10/29/11 2:00,Francois.20120214.A.0002.fcs,TC1 0200 A,156.44,prochloro,36506,24100,20691,18120,19516,233.3546408,A,TC1,36.05,138.05
10/29/11 2:00,Francois.20120214.A.0002.fcs,TC1 0200 A,156.44,heteroBact,61401,11652,13394,13822,13259,392.4891332,A,TC1,36.05,138.05
10/29/11 2:00,Francois.20120214.A.0001.fcs,TC1 0200 A,156,beads,0,0,0,14188,12978,0,A,TC1,36.05,138.05
10/29/11 2:00,Francois.20120214.A.0002.fcs,TC1 0200 A,156.44,beads,7361,63247,39049,44715,52113,47.05318333,A,TC1,36.05,138.05
10/29/11 2:00,Francois.20120214.A.0001.fcs,TC1 0200 A,156,heteroBact,0,0,0,14188,12978,0,A,TC1,36.05,138.05
10/29/11 2:00,Francois.20120214.A.0001.fcs,TC1 0200 A,156,synecho,0,0,0,14188,12978,0,A,TC1,36.05,138.05
10/29/11 2:00,Francois.20120214.A.0001.fcs,TC1 0200 A,156,prochloro,0,0,0,14188,12978,0,A,TC1,36.05,138.05
10/29/11 4:00,Francois.20120213.A.0020.fcs,TC1 0400 B,161,heteroBact,68932,11170,13445,13720,12982,428.1490683,B,TC1,35.68,138.38
10/29/11 4:00,Francois.20120213.A.0020.fcs,TC1 0400 B,161,beads,8593,62968,38625,45011,51653,53.37267081,B,TC1,35.68,138.38
10/29/11 4:00,Francois.20120213.A.0020.fcs,TC1 0400 B,161,synecho,1212,39370,30197,28890,27802,7.527950311,B,TC1,35.68,138.38
10/29/11 4:00,Francois.20120213.A.0020.fcs,TC1 0400 B,161,prochloro,40812,23478,20512,17330,19111,253.4906832,B,TC1,35.68,138.38
10/29/11 4:00,Francois.20120213.A.0021.fcs,TC1 0400 C,160.5,heteroBact,67736,11186,13254,13746,12801,422.0311526,C,TC1,35.68,138.38
10/29/11 4:00,Francois.20120213.A.0021.fcs,TC1 0400 C,160.5,beads,9548,62975,38617,44994,51650,59.48909657,C,TC1,35.68,138.38
10/29/11 4:00,Francois.20120213.A.0021.fcs,TC1 0400 C,160.5,synecho,1379,37896,28855,27758,26584,8.591900312,C,TC1,35.68,138.38
10/29/11 4:00,Francois.20120213.A.0021.fcs,TC1 0400 C,160.5,prochloro,40584,23347,20342,17372,18987,252.8598131,C,TC1,35.68,138.38
10/29/11 6:00,Francois.20120213.A.0010.fcs,TC1 0600 A,158.2,heteroBact,66012,11447,13632,13034,13320,417.2692794,A,TC1,35.36,138.68
10/29/11 6:00,Francois.20120213.A.0011.fcs,TC1 0600 C,158.1,beads,8916,63197,39036,44140,51983,56.39468691,C,TC1,35.36,138.68
10/29/11 6:00,Francois.20120213.A.0010.fcs,TC1 0600 A,158.2,prochloro,43365,22894,20413,16489,19196,274.1150442,A,TC1,35.36,138.68
