file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2013_103/16.evt,28738,28738,1954432,1849875,62,26943,67,435,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_103/16.evt,25514,25514,1954432,1849875,4,24226,60,166,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_104/346.evt,2899,2899,2195328,2131473,50,2072,235,228,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_104/346.evt,7796,7796,2195328,2131473,155,6603,271,346,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_104/346.evt,14856,14856,2195328,2131473,228,13414,305,421,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_104/346.evt,22940,22940,2195328,2131473,265,21329,327,472,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_104/346.evt,30229,30229,2195328,2131473,292,28428,362,514,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_104/346.evt,35643,35151,2195328,2131473,305,32890,393,515,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_104/346.evt,28311,28311,2195328,2131473,54,26612,299,261,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_104/346.evt,30032,30032,2195328,2131473,149,28020,313,361,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_104/346.evt,26248,26248,2195328,2131473,6,24903,279,115,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_105/309.evt,3726,3726,1939712,1869810,55,2987,181,232,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_105/309.evt,9408,9408,1939712,1869810,124,8429,209,304,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_105/309.evt,16569,16569,1939712,1869810,174,15420,232,359,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_105/309.evt,23799,23799,1939712,1869810,194,22510,254,404,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_105/309.evt,29703,29703,1939712,1869810,210,28074,279,438,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_105/309.evt,34023,33547,1939712,1869810,224,31106,311,444,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_105/309.evt,28286,28286,1939712,1869810,56,26339,232,250,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_105/309.evt,29535,29535,1939712,1869810,123,27340,241,316,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_105/309.evt,26632,26632,1939712,1869810,9,24992,218,137,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_106/364.evt,6510,6510,1883264,1814930,36,5813,246,238,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_106/364.evt,13260,13260,1883264,1814930,94,12341,274,322,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_106/364.evt,19925,19925,1883264,1814930,125,18858,298,382,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_106/364.evt,25322,25322,1883264,1814930,146,24123,315,420,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_106/364.evt,29731,29731,1883264,1814930,165,27697,336,451,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_106/364.evt,33220,32830,1883264,1814930,174,29839,355,462,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_106/364.evt,28100,28100,1883264,1814930,39,25718,290,269,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_106/364.evt,29220,29220,1883264,1814930,91,26579,304,337,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_106/364.evt,26598,26598,1883264,1814930,6,24524,275,166,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_107/258.evt,3319,3319,3237383,3172742,68,1290,1322,320,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_107/258.evt,7459,7459,3237383,3172742,167,4822,1610,447,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_107/258.evt,13355,13355,3237383,3172742,221,10265,1826,554,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_107/258.evt,20439,20439,3237383,3172742,256,16897,2045,630,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_107/258.evt,27687,27687,3237383,3172742,283,23589,2304,701,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_107/258.evt,33647,33055,3237383,3172742,295,28104,2518,730,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
