file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2013_106/364.evt,14856,1883264,1814930,67,14214,183,232,0,-7500,-41529,-7500,-39998,2500,-7500
2013_106/364.evt,18380,1883264,1814930,78,17683,189,245,0,-5000,-39029,-5000,-37498,2500,-5000
2013_106/364.evt,21001,1883264,1814930,89,19772,203,267,0,-2500,-36529,-2500,-34998,2500,-2500
2013_106/364.evt,23705,1883264,1814930,95,21011,212,279,0,0,-34029,0,-32498,2500,0
2013_106/364.evt,240768,1883264,1814930,104,22160,226,296,0,2500,-31529,2500,-29998,2500,2500
2013_106/364.evt,277130,1883264,1814930,107,23404,238,310,0,5000,-29029,5000,-27498,2500,5000
2013_106/364.evt,297603,1883264,1814930,110,24917,255,333,0,7500,-26529,7500,-24998,2500,7500
2013_106/364.evt,313530,1883264,1814930,116,26884,271,358,0,10000,-24029,10000,-22498,2500,10000
2013_107/258.evt,366496,3237383,3172742,175,24804,1892,513,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_107/258.evt,5097,3237383,3172742,103,3451,1033,278,0,-10000,-44029,-10000,-42498,2500,-10000
2013_107/258.evt,9250,3237383,3172742,124,7379,1133,341,0,-7500,-41529,-7500,-39998,2500,-7500
2013_107/258.evt,14029,3237383,3172742,141,11952,1226,371,0,-5000,-39029,-5000,-37498,2500,-5000
2013_107/258.evt,18568,3237383,3172742,149,16201,1367,402,0,-2500,-36529,-2500,-34998,2500,-2500
2013_107/258.evt,23200,3237383,3172742,157,19478,1497,427,0,0,-34029,0,-32498,2500,0
2013_107/258.evt,282398,3237383,3172742,169,21892,1679,465,0,2500,-31529,2500,-29998,2500,2500
2013_107/258.evt,355167,3237383,3172742,174,24320,1863,499,0,5000,-29029,5000,-27498,2500,5000
2013_107/258.evt,404142,3237383,3172742,178,27034,2027,547,0,7500,-26529,7500,-24998,2500,7500
