file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2011_275/11.evt,6186,6186,2109056,2108160,1,2473,1403,1105,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_275/11.evt,10350,10350,2109056,2108160,2,4915,1857,1785,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_275/11.evt,15000,15000,2109056,2108160,2,7929,2333,2234,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_275/11.evt,31913,20138,2109056,2108160,4,11211,2824,2536,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_275/11.evt,96452,25812,2109056,2108160,4,15119,3293,2792,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_275/11.evt,17084,17057,2109056,2108160,1,9444,2567,2103,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_275/11.evt,11799,11799,2109056,2108160,1,6804,1910,1166,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_275/11.evt,14414,14414,2109056,2108160,2,7942,2197,1837,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_275/11.evt,9218,9218,2109056,2108160,0,5836,1620,385,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_275/18.evt,6441,6441,2154779,2153869,1,2804,1490,1091,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_275/18.evt,10637,10637,2154779,2153869,1,5367,2021,1726,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_275/18.evt,15363,15363,2154779,2153869,1,8601,2574,2173,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_275/18.evt,33112,20636,2154779,2153869,1,12265,3117,2500,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_275/18.evt,100981,26316,2154779,2153869,1,16304,3640,2775,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_275/18.evt,17476,17450,2154779,2153869,1,10237,2849,2082,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_275/18.evt,12155,12155,2154779,2153869,1,7478,2058,1148,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_275/18.evt,14738,14738,2154779,2153869,1,8663,2416,1780,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_275/18.evt,9555,9555,2154779,2153869,0,6380,1765,369,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_275/30.evt,5437,5437,2175488,2175111,1,2028,1212,1021,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_275/30.evt,9247,9247,2175488,2175111,2,4120,1679,1690,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_275/30.evt,13639,13639,2175488,2175111,3,6827,2158,2149,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_275/30.evt,24899,18852,2175488,2175111,3,10177,2691,2500,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_275/30.evt,70128,24389,2175488,2175111,3,13891,3195,2769,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_275/30.evt,15610,15600,2175488,2175111,1,8311,2395,2014,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_275/30.evt,10236,10236,2175488,2175111,1,5719,1697,1067,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_275/30.evt,12823,12823,2175488,2175111,2,6789,1996,1725,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_275/30.evt,7778,7778,2175488,2175111,0,4772,1417,332,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_275/333.evt,4768,4768,2446848,2446619,0,294,1517,2310,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_275/333.evt,8129,8129,2446848,2446619,3,764,2461,3640,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_275/333.evt,12318,12318,2446848,2446619,4,1571,3764,4717,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_275/333.evt,20727,16917,2446848,2446619,4,2690,5098,5518,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_275/333.evt,53233,22284,2446848,2446619,4,4188,6493,6190,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_275/333.evt,14190,14180,2446848,2446619,4,2047,4391,4942,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
